class,default,sgl_grp,clz_clz-cvg_def,clz_ln-cvg_def,n-tst_clz-cvg_def,n-tst_ln-cvg_def,n-tst_clz-sim_def,n-tst_clz-diff_def,n-tst_clz-ext_def,n-tst_ln-ext_def,01-tst_clz-cvg_def,01-tst_ln-cvg_def,mean_deviation
org.apache.commons.cli.Converter,231,43,173,187,80,79,103,145,121,121,108,130,2.3
org.apache.commons.cli.BasicParser,243,55,258,223,89,83,119,171,115,98,128,146,2.16
org.apache.commons.cli.AmbiguousOptionException,163,37,142,140,60,57,81,120,82,72,90,109,2.11
org.apache.commons.cli.TypeHandler,1594,666,1533,1514,636,633,778,726,718,724,729,789,2.03
org.apache.commons.cli.CommandLine$Builder,1643,752,908,1198,713,705,883,834,905,860,774,844,1.97
org.apache.commons.cli.UnrecognizedOptionException,135,28,104,112,56,60,72,83,99,84,81,101,1.95
org.apache.commons.cli.DeprecatedAttributes$Builder,108,25,125,122,40,41,57,75,67,53,66,73,1.95
org.apache.commons.cli.HelpFormatter$OptionComparator,104,15,83,81,55,61,78,87,76,65,70,78,1.94
org.apache.commons.cli.HelpFormatter$Builder,103,16,75,72,56,62,73,86,70,64,67,81,1.93
org.apache.commons.cli.Option$Builder,3706,1824,2172,2346,1698,1615,1902,1867,2014,1934,2379,2361,1.87
org.apache.commons.cli.ParseException,413,94,334,351,197,188,253,394,336,258,238,332,1.78
org.apache.commons.cli.PatternOptionBuilder,664,170,528,596,265,273,335,542,545,394,540,618,1.78
org.apache.commons.cli.MissingOptionException,403,104,358,361,219,266,274,347,337,340,344,461,1.5
org.apache.commons.cli.HelpFormatter,7261,4920,5902,5748,4353,4409,5100,5092,5345,5170,5859,5855,1.4
org.apache.commons.cli.DefaultParser$Builder,759,246,615,604,537,572,704,910,730,610,687,802,1.32
org.apache.commons.cli.Util,8108,5499,6008,6301,5441,5708,6742,6549,6047,6193,6815,7055,1.31
org.apache.commons.cli.GnuParser,1754,535,1660,1722,1177,1244,1623,1929,2218,1488,1375,2563,1.29
org.apache.commons.cli.PosixParser,7214,3744,5948,7543,4144,4287,7068,7326,5694,5359,9045,9124,1.25
org.apache.commons.cli.OptionValidator,8215,5456,8247,9185,5416,5452,6609,5831,8482,9934,6661,6391,1.22
org.apache.commons.cli.Option,24892,21379,23325,22276,17319,17925,23332,26238,23289,22214,21695,23736,1.14
org.apache.commons.cli.OptionGroup,2929,1420,3757,3250,2016,1952,3386,2791,3066,3109,3152,3044,1.13
org.apache.commons.cli.DefaultParser,15161,16681,17514,17725,10553,11226,14726,13454,13960,13393,13231,12762,1.1
org.apache.commons.cli.DeprecatedAttributes,898,356,987,903,723,775,994,2039,1496,873,959,1300,1.04
org.apache.commons.cli.Options,9271,7522,10087,10109,8149,8538,10268,8634,8603,8552,11539,10417,1.01
org.apache.commons.cli.Parser,10141,8993,10467,10521,7637,7704,11605,11758,10473,10988,12083,12379,1.0
org.apache.commons.cli.CommandLine,12376,11353,11571,11823,10401,10933,16297,16397,13939,13547,13875,13316,0.97
org.apache.commons.cli.OptionBuilder,4034,2494,4792,4863,4222,4441,7005,7126,6053,6946,7102,6496,0.79
