seed,round0,round1,round2,round3,round4,round5,avg.,/avg. default
default,1322992,1315560,1266972,1266107,1348995,1160876,1280250,1.0
sgl_grp,958194,941542,964355,952300,949202,961014,954434,0.746
def_ln-freq_def,1297546,1286472,1275349,1282830,1288683,1305613,1289416,1.007
def_def_shuf,1303836,1293139,1305573,1304957,1313968,1289129,1301767,1.017
clz_clz-cvg_def,1237819,1297957,1251529,1257684,1254922,1340139,1273342,0.995
clz_ln-cvg_def,1145411,1143440,1152658,1157010,1163833,1017588,1129990,0.883
n-tst_clz-cvg_def,1069347,1067476,1098767,1099029,1107757,1112120,1092416,0.853
n-tst_ln-cvg_def,893603,903703,898674,1029820,1031177,977905,955814,0.747
n-tst_clz-sim_def,1072126,1131210,1080721,1102940,1078554,1069217,1089128,0.851
n-tst_clz-diff_def,1068345,1108108,1065839,1088667,1077745,1051354,1076676,0.841
n-tst_clz-ext_def,1000331,1010941,1003743,1004192,984960,1007040,1001868,0.783
n-tst_ln-ext_def,1005152,986115,992443,990410,1023473,980779,996395,0.778
01-tst_clz-cvg_def,1037677,1024233,1025276,1031800,1054413,1029299,1033783,0.807
01-tst_ln-cvg_def,1056266,1057609,1063778,1065932,1023023,1068457,1055844,0.825
