seed,round0,round1,round2,round3,round4,round5
0,461321,459657,459068,460881,446549,454503
42,339555,314762,317906,313924,320552,325657
123,451498,447435,449614,496490,486247,435148
216,322514,316841,322931,311418,310859,312477
1202,426784,421654,412604,336768,359259,372938
1999,488596,483095,478949,378830,434750,443246
2002,315764,316210,321244,316311,321939,310779
2024,491035,485169,424368,418853,438152,445481
31415,483179,446928,446080,430919,453810,458627
99999,327458,327367,325902,336875,404747,319710
fastest,407550,431842,420157,410213,439835,423972
